,inst,alg_config,time,HV,SC,eps
0,GKD-b_43_n150_b02_m15_k02,NSGA2,37.485,0.8691,0.1642,1.4163
1,GKD-b_41_n150_b02_m15_k03,NSGA2,49.497,0.9194,0.0,1.2172
2,GKD-b_47_n150_b03_m45_k03,NSGA2,51.248,0.9067,0.0,1.1519
3,GKD-b_41_n150_b03_m15_k03,NSGA2,52.804,0.9089,0.0469,1.1837
4,GKD-b_46_n150_b02_m45_k02,NSGA2,36.739,0.9068,0.0161,1.2221
5,GKD-b_48_n150_b03_m45_k02,NSGA2,32.978,0.9324,0.2632,1.1141
6,GKD-b_44_n150_b02_m15_k03,NSGA2,49.838,0.9,0.0449,1.3168
7,GKD-b_48_n150_b02_m45_k02,NSGA2,33.929,0.8898,0.0625,1.2765
8,GKD-b_50_n150_b02_m45_k03,NSGA2,54.566,0.8813,0.0119,1.3744
9,GKD-b_47_n150_b03_m45_k02,NSGA2,35.135,0.9827,0.5,1.0237
10,GKD-b_45_n150_b03_m15_k02,NSGA2,35.275,0.9826,0.4444,1.0281
11,GKD-b_49_n150_b03_m45_k03,NSGA2,53.852,0.9291,0.1389,1.1668
12,GKD-b_50_n150_b03_m45_k02,NSGA2,38.54,0.9588,0.3158,1.0334
13,GKD-b_46_n150_b03_m45_k03,NSGA2,55.912,0.9074,0.0847,1.202
14,GKD-b_44_n150_b03_m15_k03,NSGA2,52.601,0.9156,0.069,1.1514
15,GKD-b_48_n150_b03_m45_k03,NSGA2,53.741,0.8858,0.0847,1.2308
16,GKD-b_47_n150_b02_m45_k02,NSGA2,33.954,0.9078,0.0645,1.1692
17,GKD-b_49_n150_b02_m45_k03,NSGA2,53.024,0.9171,0.0,1.2266
18,GKD-b_49_n150_b03_m45_k02,NSGA2,37.19,0.9548,0.2381,1.0544
19,GKD-b_42_n150_b02_m15_k02,NSGA2,32.185,0.862,0.0,1.3356
20,GKD-b_41_n150_b02_m15_k02,NSGA2,33.432,0.9288,0.0159,1.1515
21,GKD-b_46_n150_b03_m45_k02,NSGA2,39.324,0.9742,0.2,1.0287
22,GKD-b_42_n150_b03_m15_k02,NSGA2,32.101,0.964,0.4545,1.0433
23,GKD-b_41_n150_b03_m15_k02,NSGA2,35.317,0.9363,0.35,1.1065
24,GKD-b_46_n150_b02_m45_k03,NSGA2,54.558,0.8814,0.0471,1.3404
25,GKD-b_44_n150_b02_m15_k02,NSGA2,34.547,0.8734,0.1875,1.3451
26,GKD-b_43_n150_b03_m15_k02,NSGA2,40.23,0.9985,0.5789,1.0209
27,GKD-b_42_n150_b02_m15_k03,NSGA2,47.345,0.8444,0.0353,1.5056
28,GKD-b_43_n150_b03_m15_k03,NSGA2,54.254,0.8588,0.1167,1.3542
29,GKD-b_45_n150_b02_m15_k02,NSGA2,35.362,0.8967,0.1212,1.2759
30,GKD-b_42_n150_b03_m15_k03,NSGA2,48.947,0.8722,0.0172,1.286
31,GKD-b_43_n150_b02_m15_k03,NSGA2,51.084,0.8741,0.0769,1.4604
32,GKD-b_44_n150_b03_m15_k02,NSGA2,34.408,0.9151,0.0,1.0925
33,GKD-b_50_n150_b02_m45_k02,NSGA2,37.012,0.8983,0.0308,1.2857
34,GKD-b_45_n150_b02_m15_k03,NSGA2,52.828,0.8636,0.08,1.3987
35,GKD-b_50_n150_b03_m45_k03,NSGA2,55.524,0.8983,0.2113,1.2336
36,GKD-b_48_n150_b02_m45_k03,NSGA2,51.478,0.8958,0.0471,1.3026
37,GKD-b_49_n150_b02_m45_k02,NSGA2,36.54,0.9212,0.1139,1.1945
38,GKD-b_45_n150_b03_m15_k03,NSGA2,54.856,0.8702,0.3115,1.2773
39,GKD-b_47_n150_b02_m45_k03,NSGA2,50.285,0.9093,0.012,1.2001
40,GKD-b_43_n150_b02_m15_k02,SL-MOBG,20.077,0.9974,0.7164,1.0212
41,GKD-b_41_n150_b02_m15_k03,SL-MOBG,14.851,0.9998,0.9444,1.0068
42,GKD-b_47_n150_b03_m45_k03,SL-MOBG,11.68,0.9995,0.8955,1.0115
43,GKD-b_41_n150_b03_m15_k03,SL-MOBG,6.72,0.9994,0.7344,1.0159
44,GKD-b_46_n150_b02_m45_k02,SL-MOBG,13.454,0.9986,0.8548,1.033
45,GKD-b_48_n150_b03_m45_k02,SL-MOBG,2.972,0.995,0.3684,1.035
46,GKD-b_44_n150_b02_m15_k03,SL-MOBG,13.143,0.999,0.8427,1.02
47,GKD-b_48_n150_b02_m45_k02,SL-MOBG,10.527,0.9973,0.7812,1.0288
48,GKD-b_50_n150_b02_m45_k03,SL-MOBG,15.41,0.998,0.7619,1.0234
49,GKD-b_47_n150_b03_m45_k02,SL-MOBG,2.89,0.9166,0.125,1.1104
50,GKD-b_45_n150_b03_m15_k02,SL-MOBG,2.435,0.9757,0.1667,1.0874
51,GKD-b_49_n150_b03_m45_k03,SL-MOBG,14.624,0.9984,0.75,1.017
52,GKD-b_50_n150_b03_m45_k02,SL-MOBG,2.562,0.9919,0.2632,1.047
53,GKD-b_46_n150_b03_m45_k03,SL-MOBG,20.909,0.9994,0.8644,1.0186
54,GKD-b_44_n150_b03_m15_k03,SL-MOBG,6.586,0.9971,0.6897,1.0335
55,GKD-b_48_n150_b03_m45_k03,SL-MOBG,14.489,0.9969,0.661,1.0309
56,GKD-b_47_n150_b02_m45_k02,SL-MOBG,8.242,1.0,0.9194,1.0024
57,GKD-b_49_n150_b02_m45_k03,SL-MOBG,13.904,0.9996,0.8864,1.0115
58,GKD-b_49_n150_b03_m45_k02,SL-MOBG,2.891,0.988,0.2857,1.0675
59,GKD-b_42_n150_b02_m15_k02,SL-MOBG,11.603,0.9973,0.7458,1.0396
60,GKD-b_41_n150_b02_m15_k02,SL-MOBG,9.202,0.9988,0.8413,1.0252
61,GKD-b_46_n150_b03_m45_k02,SL-MOBG,2.647,0.9415,0.05,1.1216
62,GKD-b_42_n150_b03_m15_k02,SL-MOBG,2.68,0.9907,0.4545,1.0612
63,GKD-b_41_n150_b03_m15_k02,SL-MOBG,2.697,0.9952,0.35,1.0365
64,GKD-b_46_n150_b02_m45_k03,SL-MOBG,19.182,0.9984,0.8235,1.0222
65,GKD-b_44_n150_b02_m15_k02,SL-MOBG,6.498,0.9979,0.6875,1.028
66,GKD-b_43_n150_b03_m15_k02,SL-MOBG,2.648,0.9589,0.1053,1.0872
67,GKD-b_42_n150_b02_m15_k03,SL-MOBG,20.509,0.9975,0.8471,1.0274
68,GKD-b_43_n150_b03_m15_k03,SL-MOBG,12.946,0.9988,0.85,1.014
69,GKD-b_45_n150_b02_m15_k02,SL-MOBG,11.794,0.9962,0.7121,1.041
70,GKD-b_42_n150_b03_m15_k03,SL-MOBG,22.21,0.9953,0.6897,1.0301
71,GKD-b_43_n150_b02_m15_k03,SL-MOBG,15.115,0.9989,0.8462,1.015
72,GKD-b_44_n150_b03_m15_k02,SL-MOBG,2.747,0.9821,0.3077,1.1037
73,GKD-b_50_n150_b02_m45_k02,SL-MOBG,5.52,0.9979,0.7692,1.0214
74,GKD-b_45_n150_b02_m15_k03,SL-MOBG,19.141,0.9992,0.8667,1.0249
75,GKD-b_50_n150_b03_m45_k03,SL-MOBG,5.517,0.9948,0.6479,1.0379
76,GKD-b_48_n150_b02_m45_k03,SL-MOBG,15.427,0.9978,0.8588,1.0281
77,GKD-b_49_n150_b02_m45_k02,SL-MOBG,10.808,0.9976,0.6962,1.0223
78,GKD-b_45_n150_b03_m15_k03,SL-MOBG,17.966,0.9971,0.5082,1.0281
79,GKD-b_47_n150_b02_m45_k03,SL-MOBG,11.165,0.9998,0.8916,1.0141
80,GKD-b_43_n150_b02_m15_k02,SPEA2,73.852,0.8558,0.1194,1.4604
81,GKD-b_41_n150_b02_m15_k03,SPEA2,98.938,0.8922,0.0556,1.219
82,GKD-b_47_n150_b03_m45_k03,SPEA2,103.284,0.9242,0.1045,1.1179
83,GKD-b_41_n150_b03_m15_k03,SPEA2,103.623,0.9292,0.2188,1.1435
84,GKD-b_46_n150_b02_m45_k02,SPEA2,74.322,0.9081,0.129,1.2209
85,GKD-b_48_n150_b03_m45_k02,SPEA2,66.226,0.9198,0.3684,1.1141
86,GKD-b_44_n150_b02_m15_k03,SPEA2,100.581,0.8803,0.1124,1.3781
87,GKD-b_48_n150_b02_m45_k02,SPEA2,67.58,0.8956,0.1562,1.2532
88,GKD-b_50_n150_b02_m45_k03,SPEA2,108.46,0.8797,0.2262,1.385
89,GKD-b_47_n150_b03_m45_k02,SPEA2,70.72,0.9719,0.375,1.0233
90,GKD-b_45_n150_b03_m15_k02,SPEA2,70.629,0.9636,0.3889,1.0435
91,GKD-b_49_n150_b03_m45_k03,SPEA2,106.279,0.9127,0.1111,1.1659
92,GKD-b_50_n150_b03_m45_k02,SPEA2,77.1,0.934,0.4211,1.0661
93,GKD-b_46_n150_b03_m45_k03,SPEA2,111.385,0.8863,0.0508,1.2429
94,GKD-b_44_n150_b03_m15_k03,SPEA2,103.129,0.9191,0.2414,1.1359
95,GKD-b_48_n150_b03_m45_k03,SPEA2,106.05,0.9386,0.2542,1.1198
96,GKD-b_47_n150_b02_m45_k02,SPEA2,67.297,0.9296,0.0161,1.1258
97,GKD-b_49_n150_b02_m45_k03,SPEA2,104.913,0.9264,0.1136,1.2104
98,GKD-b_49_n150_b03_m45_k02,SPEA2,74.173,0.9319,0.4762,1.0585
99,GKD-b_42_n150_b02_m15_k02,SPEA2,63.584,0.8816,0.2542,1.2933
100,GKD-b_41_n150_b02_m15_k02,SPEA2,65.949,0.898,0.1429,1.1807
101,GKD-b_46_n150_b03_m45_k02,SPEA2,78.622,0.9697,0.75,1.0426
102,GKD-b_42_n150_b03_m15_k02,SPEA2,63.851,0.985,0.2727,1.0203
103,GKD-b_41_n150_b03_m15_k02,SPEA2,70.178,0.9278,0.3,1.1196
104,GKD-b_46_n150_b02_m45_k03,SPEA2,108.702,0.8832,0.1294,1.3069
105,GKD-b_44_n150_b02_m15_k02,SPEA2,68.173,0.8801,0.125,1.3148
