,inst,alg_config,time,HV,SC,eps
0,GKD-b_11_n50_b03_m5_k03,M1,2.09,0.9439,0.3333,1.0573
1,MDG-b_01_n500_b03_m50_k03,M1,249.4244,0.8899,0.2529,1.4312
2,MDG-b_01_n500_b03_m50_k02,M1,60.4533,0.0,0.0,
3,GKD-c_01_n500_b02_m50_k02,M1,308.4267,0.7201,0.1087,1.473
4,GKD-c_01_n500_b02_m50_k03,M1,301.3278,0.8072,0.2292,1.2891
5,GKD-b_11_n50_b03_m5_k02,M1,0.6856,0.0,0.0,
6,GKD-b_41_n150_b02_m15_k03,M1,69.7733,0.8587,0.1546,1.1865
7,GKD-b_11_n50_b02_m5_k02,M1,1.52,0.8908,0.5116,1.1581
8,GKD-b_41_n150_b03_m15_k02,M1,5.5456,0.0,0.0,
9,MDG-b_01_n500_b02_m50_k02,M1,212.3633,0.8707,0.2581,1.4699
10,GKD-b_11_n50_b02_m5_k03,M1,2.7,0.9522,0.4681,1.0573
11,MDG-b_01_n500_b02_m50_k03,M1,300.6033,0.9003,0.2455,1.2352
12,GKD-b_41_n150_b03_m15_k03,M1,14.8444,0.7598,0.082,1.3643
13,GKD-c_01_n500_b03_m50_k02,M1,61.2667,0.0,0.0,
14,GKD-c_01_n500_b03_m50_k03,M1,301.1767,0.7639,0.1053,1.3757
15,GKD-b_41_n150_b02_m15_k02,M1,38.4133,0.786,0.1757,1.3209
16,GKD-b_11_n50_b03_m5_k03,M2,3.342,0.9979,0.4242,1.0163
17,MDG-b_01_n500_b03_m50_k03,M2,300.78,0.9706,0.2644,1.105
18,MDG-b_01_n500_b03_m50_k02,M2,138.554,0.9997,0.0,1.0003
19,GKD-c_01_n500_b02_m50_k02,M2,306.21,0.9951,0.3913,1.0175
20,GKD-c_01_n500_b02_m50_k03,M2,301.123,0.9956,0.4792,1.0164
21,GKD-b_11_n50_b03_m5_k02,M2,1.2367,0.9863,0.5,1.0538
22,GKD-b_41_n150_b02_m15_k03,M2,49.355,0.9969,0.3299,1.0161
23,GKD-b_11_n50_b02_m5_k02,M2,2.7044,0.9966,0.5581,1.0196
24,GKD-b_41_n150_b03_m15_k02,M2,12.817,0.979,0.3182,1.0361
